mz,rel.intensity,sample,fullsample,,,
555.272627,0.75,sc3,sc3_2,,,
591.4031429,0.79,sc3,sc3_2,,,
617.4185983,1.06,sc3,sc3_2,,,
662.4401672,0.88,sc3,sc3_2,,,
664.4558793,5.21,sc3,sc3_2,,,
665.4275851,0.42,sc3,sc3_2,,,
665.4591852,1.7,sc3,sc3_2,,,
678.471663,1.29,sc3,sc3_2,,,
691.5022408,0.38,sc3,sc3_2,,,
716.5145902,0.45,sc3,sc3_2,,,
727.5471561,1.69,sc3,sc3_2,,,
728.5508621,0.9,sc3,sc3_2,,,
728.5714623,0.66,sc3,sc3_2,,,
729.5626682,0.95,sc3,sc3_2,,,
730.539574,1.39,sc3,sc3_2,,,
730.5661742,0.34,sc3,sc3_2,,,
731.54298,0.89,sc3,sc3_2,,,
732.4127852,0.84,sc3,sc3_2,,,
732.545886,0.46,sc3,sc3_2,,,
735.5159037,0.81,sc3,sc3_2,,,
735.556304,0.51,sc3,sc3_2,,,
740.5144336,0.46,sc3,sc3_2,,,
744.5285576,0.32,sc3,sc3_2,,,
752.5596055,5.32,sc3,sc3_2,,,
753.5840117,0.9,sc3,sc3_2,,,
754.5029172,0.63,sc3,sc3_2,,,
755.5694235,1.97,sc3,sc3_2,,,
758.5708415,0.66,sc3,sc3_2,,,
761.5315591,0.48,sc3,sc3_2,,,
762.5441652,1.22,sc3,sc3_2,,,
763.5451712,0.27,sc3,sc3_2,,,
765.518483,1.43,sc3,sc3_2,,,
773.5328308,2.93,sc3,sc3_2,,,
773.563131,1.11,sc3,sc3_2,,,
774.4595364,2.09,sc3,sc3_2,,,
775.4629424,0.67,sc3,sc3_2,,,
775.5472429,3.24,sc3,sc3_2,,,
775.569143,0.52,sc3,sc3_2,,,
775.5965432,0.87,sc3,sc3_2,,,
776.5597489,3.22,sc3,sc3_2,,,
778.5737609,1.04,sc3,sc3_2,,,
780.5184726,0.66,sc3,sc3_2,,,
780.5549728,1.07,sc3,sc3_2,,,
780.5726729,0.73,sc3,sc3_2,,,
781.5470787,0.41,sc3,sc3_2,,,
781.5847789,0.62,sc3,sc3_2,,,
782.5341846,0.94,sc3,sc3_2,,,
790.5399324,1.52,sc3,sc3_2,,,
794.5338563,0.61,sc3,sc3_2,,,
796.5496683,0.49,sc3,sc3_2,,,
797.5812745,0.82,sc3,sc3_2,,,
